키워드,상품수,직구상품수
소파,64502,14036
1인용 소파,7321,
2인용 소파,5510,917
3인용 소파,10560,847
4인용 소파,,647
5인용 소파,,162
6인용 소파,,143
3.5인용 소파,,1
코너형 소파,1984,
모듈형 소파,303,16
라운드 소파,687,173
카우치 소파,,160
벤치형 소파,117,
데이베드 소파,,33
다이닝 소파,301,85
미니 소파,2942,641
원룸 소파,854,202
가죽 소파,9700,910
천연가죽 소파,,
인조가죽 소파,2641,250
패브릭 소파,12331,1457
실리콘가죽 소파,164,
원목 소파,4189,646
나무 소파,894,257
돌 소파,2568,41
흙 소파,1552,15
황토 소파,1011,3
온열 소파,1201,8
온돌 소파,278,
조약돌 소파,157,
압축 소파,94,30
모션 소파,706,25
스윙 소파,1577,39
슬라이딩 소파,377,22
무빙 소파,369,5
모듈 소파,,164
리클라이너 소파,2346,286
1인용 리클라이너,920,
1인 전동 리클라이너,208,11
4인용 리클라이너,893,19
수납 소파,3773,
평상형 소파,159,16
빈백,1431,340
1인용 빈백,,144
에어 빈백,204,62
소파베드,12349,3545
1인용 소파베드,1317,206
2인용 소파베드,1095,
3인용 소파베드,1062,
접이식 소파베드,1227,274
전동 소파베드,48,20
침대형 소파,925,166
침대 겸 소파,907,165
좌식 소파,,472
사무실 소파,2455,965
카페 소파,,651
병원 소파,369,
1인 소파의자,,692
쿠션 의자,9578,2020
거실 테이블,23917,6622
거실 좌식 테이블,3964,
원형 거실 테이블,,1281
삼각형 거실 테이블,65,25
원목 거실 테이블,5443,967
세라믹 거실 테이블,1066,
대리석 테이블,1686,565
유리 테이블,3314,
아크릴 테이블,3535,838
높이조절 거실 테이블,,
리프트업 테이블,,
접이식 거실 테이블,4033,515
이동식 테이블,,
폴딩 테이블,14426,
좌식 테이블,5672,706
미니 테이블,10840,2085
작은 테이블,,732
슬림 테이블,,252
폭 좁은 테이블,,
좁고 긴 테이블,213,77
커피 테이블,4229,
티 테이블,5707,1808
소파 테이블,9181,2309
원형 소파 테이블,1684,550
노트북 테이블,,
베란다 테이블,856,
창가 테이블,496,157
간이 테이블,3295,613
보조 테이블,,759
베드 테이블,6778,1998
침대 테이블,6778,1998
이동식 침대 테이블,1037,
침대 식탁,1452,243
좌식 식탁,1572,
높이조절 식탁,5743,437
쿠션 테이블,1069,519
모션 테이블,386,41
고기불판 테이블,,9
사이드테이블,11610,3346
원형 사이드테이블,2139,814
원목 사이드테이블,,509
침대 사이드테이블,3435,915
소파 사이드테이블,4065,
이동식 사이드테이블,1631,
틈새 사이드테이블,678,239
수납 사이드테이블,2067,
높이조절 사이드테이블,1206,
접이식 사이드테이블,1277,237
거실 협탁,,
소파 협탁,2927,
TV장,,148
TV다이,,
TV서랍장,1570,40
TV받침대,6182,145
TV선반,4903,169
TV테이블,699,285
거실장,10926,339
높은 거실장,2210,25
낮은 거실장,1504,27
벽걸이 거실장,76,12
원목 거실장,3065,67
세라믹 거실장,252,2
대리석 거실장,,11
템바보드 거실장,,2
북유럽 원목 거실장,658,27
거실장 1800,1005,3
거실장 2000,840,
거실장 2400,,
거실 TV장,7242,101
거실 TV 수납장,1238,29
거실 서랍장,3354,215
장식장,16823,2273
유리 장식장,,89
인테리어 장식장,4210,395
엔틱 장식장,1374,169
콘솔 장식장,513,146
코너 장식장,214,42
피규어 장식장,,950
건담 장식장,857,
위스키 장식장,224,42
양주 장식장,494,33
술 장식장,,4
오디오 장식장,180,
진열장,11079,2366
위스키 진열장,224,
양주 진열장,494,
술장,68,31
위스키장,114,14
유리장,343,
템바보드 수납장,739,
1인용 침대,3956,
1인용 접이식 침대,1496,
침대 책상,4151,
침대 사이드 선반,583,
수납 벤치,1541,
수납 벤치 의자,1020,
벤치 수납장,392,
벤치 수납 의자,1020,
나무 벤치,1982,159
이지클린 벤치 스툴,1603,
소파 스툴,7020,
소파 뒤 선반,90,36
소파 뒤 수납장,25,
소파 틈새 선반,279,
윈도우 시트,335,22
보조 책상,2010,226
폭 좁은 책상,,57
이동식 책상,2900,480
소파 추천,64500,14036
소파 브랜드,119,3
소파 전문매장,63,2
